robot_name,reference,type,year,cost_dollars,total_length_inm,leg_length_inm,min_mass_inkg,max_mass_inkg,average_mass_inkg,normal_speed_inmps,walking_speed_inmps,running_speed_inmps,DOF,payload_inkg,actuator_mass_inkg,accuator_count,highest_stall_torqueorforce_on_actuators_inNm,actuator_name,actuation_type,reported_COT,battery_life_hours,battery_wt_inkg,
X-Rhex,[1] https://kodlab.seas.upenn.edu/uploads/Main/xrhextechreport.pdf,hexapod,,,0.57,0.175,8.6,9.5,9.05,1.54,,,6,12,,,,,motors,,,0.288,
MiniRHex,[1] https://www.andrew.cmu.edu/user/amj1/papers/RSS2018ws_MiniRHex.pdf [2] https://robomechanics.github.io/MiniRHex/,hexapod,,,0.19,0.058,0.425,,0.425,0.15,,,6,3,,6,,Dynamixel XL-320,motors,,,,
SiLVIA,[1] https://www.seas.ucla.edu/~junjie/project/Project5.pdf,hexapod,,,1,,10,,10,,,,,5,,,,Dynamixel MX-106,motors,,2,,
DASH,[1] https://people.eecs.berkeley.edu/~ronf/PAPERS/IROS09_DASH.pdf,hexapod,2009,,0.1,0.03,0.016,,0.016,1.5,,,1,,,1,,,motors,14.7,0.67,3.7V 50mAh LiPo,
iSprawl,[1] https://web.mit.edu/sangbae/Public/IJRRisprawl.pdf,hexapod,2006,,0.155,0.035,0.3,,0.3,2.3,,,1,,0.054,1,,,motors,,0.08,6x 3.7V 250mAh LiPo,
X2-VelociRoACH,[1] https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7139828,hexapod,2015,,0.104,0.0252,0.054,,0.054,4.9,,,1,,,1,,,motors,3.3,0.33,1x 7.4V 180mAh battery,
,,,,,,,,,,,,,,,,,,,,,,,
M4,[1] https://www.nature.com/articles/s41467-023-39018-y,"quadruped, drone, wheeled",,,0.75,,5.6,,,,,,,,,,,,,,,,
Leonardo (excluded from power laws),[1] https://www.science.org/doi/epdf/10.1126/scirobotics.abf8136,"biped, drone",,,0.75,,2.58,,2.58,0.2,,,,,,,,,motors,48,,,
Tesla Optimus Gen 2 (excluded from power laws),[1] https://humanoid.guide/product/optimus-gen2/ [2] https://blog.robozaps.com/b/tesla-optimus-gen-2-review,biped,2023,"20,000",1.68,0.9,57,,,2.22,,2.24,11,20,,50,,,,,4 to 5,,
Daisy,[1] https://robotsguide.com/robots/daisy [2]  https://docs.hebi.us/resources/kits/datasheets/x-series/A-2049-01_Datasheet.pdf,hexapod,2017,,1,0.5,18,,21,0.13,0.278,,18,1.5,0.27-0.42,18,,,solenoid,,,0.099,
Tappy ,"Robomechanics Lab, Carnegie Mellon University",lower biped,2026,,0.16,0.143,0.518,0.617,0.5675,0.07112,,,2,,,2,,,solenoid,,,,
Tappina,"Robomechanics Lab, Carnegie Mellon University",lower biped,2026,,0.055,0.055,0.065,,0.065,0.051,,,2,,,2,,,,,,,
